Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-zw.fhir.ig.lab.json	13173	-	0	0	0	1	0	0	15	84	0	0	0	0	1	0	0	0	0	0	104	96	0	0	0	5	0	1
fsh-generated/resources/CodeSystem-zw-lab-tests.json	1837	4	0	0	1	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	15	81	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-zw-laboratories.json	1704	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	13	77	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-zw-reason-for-test.json	3607	2	0	0	1	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	23	92	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-zw-rejection-reasons.json	1969	1	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	1	0	0	12	68	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-zw-report-review-state.json	1095	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	55	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-zw-sample-types.json	2497	2	0	0	0	0	0	0	1	4	0	0	1	0	0	0	0	0	0	0	20	68	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-zw-task-input-type.json	937	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	42	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-zw-task-output-type.json	588	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	7	32	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-example-zw-vl-diagnostic-report.json	1643	2	0	0	0	0	0	0	0	1119	0	0	0	0	0	0	0	0	0	0	10	18	0	0	0	0	0	0
fsh-generated/resources/Location-example-order-facility.json	237	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	7	0	0	0	0	0	0
fsh-generated/resources/Observation-example-zw-vl-observation.json	1253	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	9	14	0	0	0	0	0	0
fsh-generated/resources/Organization-example-national-virology-lab.json	606	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0
fsh-generated/resources/Patient-example-zw-lab-patient.json	921	1	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-example-zw-service-request-vl.json	961	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	14	0	0	0	0	0	0
fsh-generated/resources/Specimen-example-zw-specimen-plasma.json	690	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	6	10	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-citizenship.json	2748	2	0	27	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	112	693	0	0	0	8	1	1
fsh-generated/resources/StructureDefinition-date-of-birth-estimated.json	1549	1	0	8	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	40	91	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-report-review-state.json	1790	1	0	7	1	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	37	84	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-zw-facility.json	750	0	0	32	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	99	189	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-zw-lab-diagnostic-report.json	5135	3	0	29	0	0	0	0	1	23	0	0	0	0	0	0	0	0	0	0	149	260	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-zw-lab-order.json	8113	2	0	11	0	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	89	107	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-zw-lab-patient.json	3660	2	0	92	0	0	0	0	0	54	0	0	0	0	1	0	0	1	0	0	324	622	0	0	0	18	0	1
fsh-generated/resources/StructureDefinition-zw-lab-result-observation.json	3675	2	0	132	0	0	0	0	0	22	0	0	1	0	0	0	0	1	0	0	197	1112	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-zw-lab-result-report.json	5274	2	0	12	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	62	134	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-zw-lab-service-request.json	2925	2	0	31	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	139	211	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-zw-lab-task.json	7832	3	0	90	0	0	0	0	0	53	0	0	0	0	0	0	0	1	0	0	349	593	0	0	0	13	0	1
fsh-generated/resources/StructureDefinition-zw-laboratory.json	2045	1	0	24	1	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	92	200	0	0	0	6	1	1
fsh-generated/resources/StructureDefinition-zw-specimen.json	3269	2	0	34	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	151	241	0	0	0	5	0	0
fsh-generated/resources/Task-example-zw-lab-task-order.json	1611	1	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	7	23	0	0	0	0	0	0
fsh-generated/resources/ValueSet-zw-lab-tests.json	450	1	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	4	102	0	0	0	2	0	0
fsh-generated/resources/ValueSet-zw-laboratories.json	458	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	57	0	0	0	1	0	0
fsh-generated/resources/ValueSet-zw-reason-for-test.json	480	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	42	0	0	0	0	0	0
fsh-generated/resources/ValueSet-zw-rejection-reasons.json	478	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	32	0	0	0	0	0	0
fsh-generated/resources/ValueSet-zw-report-review-state.json	496	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	27	0	0	0	0	0	0
fsh-generated/resources/ValueSet-zw-sample-types.json	458	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	5	31	0	0	0	1	0	0
/fsh-generated/includes/fsh-link-references.md	2141	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/fsh-generated/includes/menu.xml	1552	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/data/features.yaml	84	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/index.md	2626	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/downloads.md	264	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/about.md	599	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/template/config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config/_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/temp/pages/_includes/artifacts.xml	17625	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0
